course_name,course_subject,course_number,course_desc,course_link
Principles of Auditing,ACCO,360,"This course examines the concepts and methods of auditing and how internal and external audits are integrated in a more general corporate governance and risk management framework. The importance of the design and monitoring of effective internal controls is highlighted. The objectives, concepts and methods of auditing are illustrated with examples and short cases. They are also applied to solve simple problems and cases.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Special Topics in Accounting,ACCO,470,This course is intended to complement accounting courses taken previously or concurrently at the senior level. It provides an opportunity for more intensive study in one or more specific topics in accounting.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Strategic Accounting Case Analysis,ACCO,435,"This course integrates topics in financial and management accounting, finance, and business strategy covered in previous courses. Students are involved in a case environment that requires them to analyze the external and internal environments of a business, perform financial analysis, evaluate alternatives, and recommend a plan of action. Students are introduced to enterprise resource planning (ERP) platforms used in companies, asset financing, and aspects of commercial lending to assess financing alternatives.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
U.S. Federal Taxation,ACCO,365,This course familiarizes the student with individual and corporate taxation in the U.S. The use of professional judgment in the application of tax planning recommendations is also addressed in this course.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-40.html#courses
Advanced Acting Studio,ACTT,450,"Building on the skills developed in movement and voice for the stage, this studio course provides advanced students with the opportunity to apply their skills to text study and character development in an intensive environment without the pressure of creating a public performance. The course may introduce a variety of acting styles to promote further skill development.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Classical Text Project A,ACTT,460,"his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Classical Text Project B,ACTT,461," This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Classical Text Project C,ACTT,462,"his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of an iconic text from the worldwide body of dramatic literature, written by a widely recognized playwright, such as Shakespeare, K?lid?sa, Ibsen, Chekhov, or Zeami.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Clown for the Actor,ACTT,370,"Building on previously acquired skills in movement and voice, this course focuses on the development of clown characters and situations, with focus on Michel Dallaire’s “Jeu Clownesque” approach to clown training and performance.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Conducting an Acting Workshop,ACTT,481,his studio course provides students with opportunities to experiment with both writing and performing original stories. Students examine contemporary performing artists whose works incorporate a wide range of storytelling modalities. This course has a public performance outcome.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Creation Project A,ACTT,433,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Creation Project B,ACTT,434,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Creation Project C,ACTT,435,This public performance course offers supervised application of theatrical skills in the collaborative creation of a theatre production.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Designing an Acting Workshop,ACTT,480,"This studio course provides students with the opportunity to design a course framework under the guidance of the instructor that includes curriculum, implementation, and assessment for students. Students develop a philosophy of teaching and learning through sustained reflection of their own creative process and selected readings.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Ensemble I,ACTT,231,"his studio class covers the elements of preparation for theatrical presentation with emphasis on the co-operative nature of theatre. Studio work includes ongoing movement and voice training, and instruction in sensory awareness, spatial relationships, improvisational techniques, and performer-audience relationships.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Ensemble II,ACTT,360,"This studio course focuses on skill development and performance of a particular theatrical genre, such as Elizabethan verse, red-nose clown, or Brechtian epic theatre.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Final Acting Project,ACTT,465," This studio course involves the supervised creation and performance of a solo or ensemble theatre piece, the development of audition technique, and other career-oriented skills. The emphasis is on crystallizing each student’s unique theatrical identity, while solidifying collaborative skills. This course has a public performance outcome.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Improvisation,ACTT,332," A thorough introduction to improvisation as a method of creation for the stage, using skills such as mask, commedia dell’arte, or the techniques of Keith Johnstone.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Introduction to Acting I,ACTT,201,"This course emphasizes the development of imagination and physical expression, including the basics of improvisation, the playing of intention, and the group ensemble experience working towards presentation.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Introduction to Acting II,ACTT,202,"This course builds on skills previously acquired in the area of playing intention and group ensemble, emphasizing the development of skills pertaining to language, character, and text.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Movement for the Stage II,ACTT,321,"his studio course is an introduction to various movement-based performance techniques, methods, or approaches, such as Decroux, Laban, LeCoq, Biomechanics, or somatic work.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Movement for the Stage IV,ACTT,458,"Building on previously acquired skills, this course provides an advanced exploration of a particular movement-based performance technique, method, or approach, such as Decroux, Laban, Lecoq, biomechanics, or somatic work.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Movement for the Studio III,ACTT,358,"Building on previously acquired skills, this course provides an intensive introduction to a particular movement-based performance technique, method, or approach, such as the Viewpoints or the techniques of Eugenio Barba, as intended for acting specialists.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
One-Act Project A,ACTT,436,This public performance course offers supervised application of theatrical skills in the collaborative realization of a threatre production of a one-act text from the worldwide body of dramatic literature.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
One-Act Project B,ACTT,437,his public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
One-Act Project C,ACTT,438,This public performance course offers supervised application of theatrical skills in the collaborative realization of a theatre production of a one-act text from the worldwide body of dramatic literature.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Rasaboxes,ACTT,432,"Building on the skills developed in voice and movement classes, this studio course provides an intensive introduction to the performance of emotion, based on the Rasaboxes training as developed by Richard Schechner.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Scene Study I,ACTT,210,"his studio course places increased emphasis on movement, voice, and text interpretation, working in a realistic style of physical actions such as Stanislavski’s work on embodiment. The course offers foundational principles for creating a role, with focus on contemporary and early modern realistic dramatic texts.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Scene Study II,ACTT,331,"In this studio course, students examine, develop, and refine their individual processes for analyzing, exploring, rehearsing, and performing scenes from dramatic texts, with focus on non-realistic genres of text, such as existentialism, absurdism or expressionism.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,499, This course provides opportunities for studies in selected styles or modes of theatre performance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,399, This course provides opportunities for studies in selected styles or modes of theatre performance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,299,. This course provides opportunities for studies in selected styles or modes of theatre performance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,498, This course provides opportunities for studies in selected styles or modes of theatre performance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,398,A seminar course exploring a topic in performance creation.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Special Topics in Acting,ACTT,298,This course provides opportunities for studies in selected styles or modes of theatre performance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Stage Combat,ACTT,372,"Building on previously acquired movement skills, this course focuses on the development of unarmed and armed stage combat skills for the actor.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Supervised Acting Performance Project,ACTT,440,18 credits in a specialization of the Department of Theatre,
The Engaged Theatre Artist,ACTT,209,This studio course is designed to bring together students from all of the Department’s specializations to explore basic skills and principles of performance creation and acting for the theatre. The course combines theoretical readings and practical explorations relating to diverse perspectives on an artist’s role in society.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Voice and Movement for the Stage I,ACTT,211,"This studio course cultivates the expressive potential of the actor’s instrument: the body, voice, and imagination. It aims to hone the basic tools of physical and of vocal expression. Students practise applying these tools in études, poetry performances, and scenes.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Voice for the Stage II,ACTT,325,"Building on the voice and speech skills previously introduced, this course emphasizes embodiment, self-awareness, and freedom of breath; authentic, healthy, and expressive vocal use; and clarity and conviction in speaking text.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Voice for the Stage III,ACTT,355,"This studio course provides a thorough introduction to a particular voice-based performance technique, method, or approach, such as choral singing for the theatre or slam poetry.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Voice for the Stage IV,ACTT,455,"Building on previously acquired skills, this course provides an advanced exploration of a particular voice-based performance technique, method, or approach, such as singing, voice-over or dialects.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec81/81-120.html#acttheatre
Actuarial Mathematics I,ACTU,257, Measurement of mortality net annual premiums,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Actuarial Mathematics II,ACTU,357,"Net level premium reserves; multiple life functions; multiple decrements, the expense factor; special topics",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Actuarial Mathematics Lab I,ACTU,286,This lab features problem-solving sessions for the professional examination on financial mathematics of the Society of Actuaries and the Casualty Actuarial Society.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Actuarial Mathematics Lab II,ACTU,386,This lab will feature the use of programming languages and software applications.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Actuarial Mathematics Lab III,ACTU,486,This lab will be a workshop designed to prepare students for the Actuarial Models examination of the Society of Actuaries and the Casualty Actuarial Society.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Credibility Theory,ACTU,458,"Credibility approach to inference for heterogeneous data; classical, regression and Bayesian models; illustrations with insurance data.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Honours Project in Actuarial Mathematics,ACTU,493,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Loss Distributions,ACTU,459,Probability model fitting to loss data,
Mathematics of Finance,ACTU,256, MATH 264 previously or concurrently bonds and related securities life insurance.,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Pension Mathematics,ACTU,456,Valuation methods,
Reading Course in Actuarial Mathematics,ACTU,492,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Risk Theory,ACTU,457,"Applications of contingency theory in health insurance, individual and collective risk theory, ruin theory.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Topics in Actuarial Mathematics,ACTU,491,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-200.html#actuarial
Adult Education in Canada and Quebec,ADED,410,"The purpose of this course is to examine the historical development and current state of adult education in Canada, with special reference to Quebec. Various factors which influenced the development of adult education in our society are explored; the focus is on present status, role and structure, and socio-cultural and philosophical underpinnings of the field.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Adults as Learners,ADED,220,"This course examines the unique physiological, psychological, and sociological characteristics of adults, their influence on adult learning and development, and their implications for educational intervention. Attention is given to changes which occur at various stages of the adult life cycle, and particularly to the dimensions which affect the adult’s self-concept and orientation to learning, the motivations, needs, and interests which cause adults to participate in educational activities.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Advanced Topics in Adult Education,ADED,498,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Concepts and Principles of Adult Education,ADED,201,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Concepts and Values in Adult Education,ADED,412,"This seminar is designed to encourage adult educators to reflect upon and question what one is engaged in and why. A selection of conceptual and philosophical issues underlying adult educa­tional practice is critically examined and discussed. Attention is given to the meaning of words, the nature of ideas and values, the implications of assumptions and principles which are deemed specific in the sphere of the education of adults.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Design of Adult Learning Projects,ADED,344,"The purpose of this course is to assist participants in developing a clear working concept of various models for planning and designing adult learning projects. To facilitate this understanding, the different steps of the process are closely examined and discussed. Participants are given an opportunity to design and conduct a learning activity in the area of subject matter speciality. A systems approach, including methods for evaluating the design of the learning project is emphasized.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Diversity in Adults,ADED,403,"It is the role of adult educators (agents of change) to confront issues of diversity and to challenge the forces of racism, sexism, classism, homophobia, and discrimination. By integrating notions of education, and by reflecting on the roles of practitioners, this course develops strategies to resist structural inequality and oppression.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Evaluating Adult Learning Projects,ADED,345,"The purpose of this course is to assist participants in developing a clear working concept of various models for assessing the effectiveness of adult learning projects. The course emphasizes a systematic approach to evaluation, techniques for collecting information and providing feedback to program operation and impact. Participants are given the opportunity to conduct an evaluation of an adult learning project in the area of subject matter speciality.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Group Dynamics,ADED,302,"This course examines the processes, conditions, and skills involved when adults work in groups. Participants develop a knowledge and understanding of group dynamics and acquire the skills needed for using groups as a means of adult learning. One of the approaches this course takes is to have participants learn about group dynamics by being actively involved in various interactive group situations.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Integrative Internship_I,ADED,496,"This internship is designed to assist individual students in achieving a synthesis of their own experiential learning in light of acquired knowledge, skills, values, and attitudes through the clarification of personal aims and the philosophy of adult education. Students will normally enrol in this internship near the end of their program.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Integrative Internship_II,ADED,497,"This internship is designed to extend the personal aims and philosophy of adult education arrived at in Integrative Internship I, and engage in a special project in an adult education facility where supervision is provided by the host institution.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Introduction to Research in Adult Education,ADED,240,"This course is designed to introduce students to how to gain access to and utilize major information sources in adult education. In addition, the course examines research interests and problem areas studied in adult education and related fields, along with current trends and various methods of inquiry used.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Issues in the Practice of Adult Education,ADED,440,"The purpose of this seminar is to study and discuss current issues relating to the field and profession of adult education in general, along with more specific and local concerns. Group and individual interests have an important bearing on the design of this course.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Methods and Techniques for Facilitating Adult Learning,ADED,333,"This course is designed to give adult educators an opportunity to practise and improve their skills in facilitating adult learning. Different models of educational processes and optimal conditions for promoting adult learning are examined; attention is given to case studies, role plays, and simulation methods and techniques, as well as to individualized learning formats.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Roles and Competencies of Adult Educators,ADED,230,"The purpose of this course is to review the state of professionalization of adult education. General skills, knowledge, and attitudes expected of adult educators regardless of the setting in which they work are examined. In addition, according to the participants’ needs and interests, an opportunity is given to explore competencies related to the particular roles of, e.g., administrators, program developers, trainers, leaders, instructors, counsellors, and volunteer workers.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Selected Topics in Adult Education,ADED,299,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Selected Topics in Adult Education,ADED,398,"Specific topics for this course, and prerequisites relevant in each case, are stated in the Undergraduate Class Schedule.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Selected Topics in Adult Education,ADED,298,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
The Scope and Nature of Adult Education Programs,ADED,202,"This course is designed to help students develop an understanding of the scope and nature of adult education programs. Emphasis is placed on existing programs, and institutions and agencies providing them. The course stresses active student participation and self-directedness.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Workshops for Adult Educators,ADED,370,These workshops examine a number of topics and problems related to the field of adult education. The issues considered may differ from year to year and are stated in the Undergraduate Class Schedule. The workshop format is designed to provide adult educators with learning opportunities that are flexibly scheduled or in the form of a one-week intensive seminar,http://www.concordia.ca/academics/undergraduate/calendar/current/sec31/31-090.html#aded-courses
Introduction to Administration,ADMI,201,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-120.html#courses
Perspective on Canadian Business,ADMI,202,No Desciption,http://www.concordia.ca/academics/undergraduate/calendar/current/sec61/61-120.html#courses
Aerodynamics,AERO,464,"Flow conservation equations, incompressible Navier-Stokes equations, inviscid irrotational and rotational flows: the Euler equations, the potential and stream function equations. Dynamics of an incompressible inviscid flow field: the Kelvin, Stokes, and Helmholtz theorems. Elementary flows and their superposition, panel method for non-lifting bodies. Airfoil and wing characteristics, aerodynamic forces and moments coefficients. Incompressible flows around thin airfoils, Biot-Savart law, vortex sheets. Incompressible flow around thick airfoils, the panel method for lifting bodies. Incompressible flow around wings, Prandtl’s lifting line theory, induced angle and down-wash, unswept wings, swept wings. Compressible subsonic flow: linearized theory, Prandlt-Glauert equation and other compressibility correction rules, the area rule. Transonic flow: Von Karman’s ransonic small disturbance equation, transonic full potential equation, super-critical airfoils. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Aerospace Engineering Design Project,AERO,390,"This course focuses on general design philosophy and the design process. The following topics are covered: design factors such as product safety, reliability, life cycle costs and manufacturability; design in the aerospace context (vehicle and system design with regard to mission requirements, configuration, sizing, loads, etc.); mathematical modelling, analysis, and validation; introduction to Computer-Aided Design and Engineering (CAD and CAE); design documentation. A team-based project in which an aerospace system/subsystem is designed, implemented, documented and presented is an intrinsic part of this course.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Aerospace Vehicle Performance,AERO,446,"Introduction to fixed-wing aircraft operation. Flying environment and its measurement by aircraft instrumentation. Computation of lift and drag, effects of viscosity and compressibility. Review of piston, turboprop, turbojet and turbofan power plants. Operational performance of aircraft in climb, cruise, descent and on ground. Advanced aircraft systems. Operational considerations in aircraft design. Projects on selected topics. Lectures: three hours per week. Tutorial: one hour per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Aircraft Hydro-Mechanical and Fuel Systems,AERO,471," This course focuses on design principles and sizing of the following aircraft systems: hydraulic system, primary and secondary flight control actuation systems, landing gear systems, and fuel system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. Lectures: three hours per week. Laboratory: 12 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Aircraft Pneumatic and Electrical Power Systems,AERO,472,"This course focuses on design principles and sizing of the following aircraft systems: electrical power system, auxiliary and emergency power systems, environmental control system, ice and rain protection system, and pneumatic power system. Traditional and new technology implementations in aircraft, helicopters and other aerospace vehicles are considered. Associated standards and regulations are described. Principles of architecture development and integration, as well as engineering tools for system sizing and simulation, are covered. A project is required, including a laboratory component. Lectures: three hours per week. Laboratory: 12 hours total.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Aircraft Stress Analysis,AERO,486," Definition of load paths in typical aircraft structures. Derivation of analysis procedures to enable the designer to size preliminary designs. Internal shear flow distributions that balance external loads. Stress analysis of open and closed cell beams; statically indeterminate beams and frames; single and multi cell torque boxes; symmetric heavy fuselage frames. Structural instability of columns, beams, plates and flanges in compression and shear. Centres of twist and flexure; structural warping; margins of safety; concepts of optimum design; lug analysis and mechanical joints; matrix analysis methods leading to the Finite Element method. Stress analysis of thin-walled metallic structures. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Avionic Navigation Systems,AERO,482,"Basics of modern electronic navigation systems, history of air navigation, earth coordinate and mapping systems; basic theory and analysis of modern electronic navigation instrumentation, communication and radar systems, approach aids, airborne systems, transmitters and antenna coverage; noise and losses, target detection, digital processing, display systems and technology; demonstration of avionic systems using flight simulator. Lectures: three hours per week.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Capstone Aerospace Engineering Design Project,AERO,490,"This course includes a supervised design, simulation or experimental capstone design project including a preliminary project proposal with complete project plan and a technical report at the end of the fall term; a final report by the group and presentation at the end of the winter term. Lectures: one hour per week, one term. Equivalent laboratory time: three hours per week, two terms.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
Computational Fluid Dynamics for Aerospace Applications,AERO,455,"ntroduction to computational methods in fluid dynamics using commercial CFD codes; aspects of geometry modelling, structured and unstructured grid generation, solution strategy, and post-processing; conversion of CAD to CFD models; an overview of basic numerical methods for the Navier-Stokes equations with emphasis on accuracy evaluation and efficiency. Elements of turbulence closure modelling. User-defined function for customized physical models into commercial CFD codes. Lectures: three hours per week. Laboratory: three hours per week, alternate weeks.",http://www.concordia.ca/academics/undergraduate/calendar/current/sec71/71-60.html#aero
