Course Name,Course subject,Course number,Course description
Comparative Study of Programming Languages,COMP,6411,"COMP 6411 Comparative Study of Programming Languages (4 credits) Comparison of several high-level programming languages with respect to application areas, design, efficiency, and ease of use. The selected languages will demonstrate programming paradigms such as functional, logical, and scripting. Static and dynamic typing. Compilation and interpretation. Advanced implementation techniques. A project is required."
Compiler Design ,COMP,6421,"Compiler organization and implementation: lexical analysis and parsing, syntax-directed translation, code optimization. Run-time systems. A project is required."
Computer Networks and Protocols,COMP,6461,"Direct link networks: encoding, framing, error detection, flow control, example networks. Packet switching and forwarding: bridges, switches. Internetworking: Internet Protocol, routing, addressing, IPv6, multicasting, mobile IP. End-to-end protocols: UDP, TCP. Network security concepts. Application-level protocols. Laboratory: two hours per week."
Advanced Database Technology and Applications,COMP,6521,"Review of standard relational databases, query languages. Query processing and optimization. Parallel and distributed databases. Information integration. Data warehouse systems. Data mining and OLAP. Web databases and XML Active and logical databases, spatial and multimedia data management. Laboratory: Two hours per week."
Foundations of the Semantic Web,COMP,6531,"Web markup languages, World Wide Web Consortium (W3C) standards, Extensible Markup Language (XML) Resource Description Framework (RDF), schema for markup languages, Semantic Web, ontology development, markup languages for ontologies, Web Ontology Language (OWL), logical foundations of ontologies, description logics, reasoning with ontologies. A project is required."
Introduction to Knowledge-Base Systems,COMP,6591,"Review of first-order logic, relational algebra, and relational calculus. Fundamentals of logic programming. Logic for knowledge representation. Architecture of a knowledge-base system. Fundamentals of deductive databases. Top-down and bottom-up query processing. Some important query processing strategies and their comparison. Project or term paper on current research topics."
Discrete Mathematics of Paul Erdös,COMP,6621,Introduction to the methods and proof techniques of Paul Erdös that are particularly applicable to Computer Science. Proof of Bertrand’s postulate. The Erdös-Szekeres and the de Bruijn-Erdös theorems. Ramsey’s theorem and Ramsey numbers. Van der Waerden’s theorem and Van der Waerden numbers. Delta-systems and a proof of the Erdös-Lovász conjecture. The Erdös-Ko-Rado theorem. Extremal graph theory. Random graphs and graph colouring. The probabilistic method and its applications in theoretical Computer Science. A project is required.
Large-Scale Optimization,COMP,6631,"Mathematical modelling of large-scale optimization models. Design and implementation of large-scale optimization techniques: decomposition methods (Benders, Dantzig-Wolfe, Lagrangian Relaxation, Column Generation), branch-and-price techniques. Large-scale linear and non-linear programming techniques for network optimization and integer/discrete programming. Techniques for nonlinear non-convex continuous optimization: branch-and-bound methods, DC (difference of convex functions) programming, bilinear and biconvex optimization. Heuristics and meta-heuristics. A project is required.
Note: Students who have received credit for this topic under a COMP 691Y number may not take this course for credit."
Theory of Computation,COMP,6641,"General properties of algorithmic computations. Turing machines, universal Turing machines. Turing computable functions as a standard family of algorithms. Primitive recursive functions. Church’s thesis, recursive sets. Recursively enumerable sets and their properties. Rice’s theorem. Time and space complexity measures. Hierarchy of complexity measures. Advanced topics in complexity theory. A project is required."
Algorithm Design Techniques,COMP,6651,"Mathematical preliminaries; Empirical and theoretical measures of algorithm efficiencies; Optimization and combinatorial techniques and algorithms including greedy algorithms, dynamic programming, branch-and-bound techniques and graph network algorithms; Amortized complexity analysis; String matching algorithms; NP-complete problems and approximate solutions; Probabilistic algorithms. A project is required."
Combinatorial Algorithms,COMP,6661,Representation and generation of combinatorial objects; search techniques; counting and estimation. Projects on selected applications from combinatorics and graph theory.
Computational Geometry,COMP,6711,"Efficient algorithms and data structures to solve geometric problems. Problems discussed include convex hulls, line intersections, polygon triangulation, point location, range searching, Voronoi diagrams, Delaunay triangulations, interval trees and segment trees, arrangements, robot motion planning, binary space partitions, quadtrees, and visitility. Algorithmic methods include plane sweep, incremental insertion, randomization, divide and conquer. Emphasis will be given to computation and complexity, with applications in computer graphics, computer aided design, geographic information systems, networks, mesh generation, databases, and robot motion planning. A project is required."
Applied Artificial Intelligence ,COMP,6721,"The course covers heuristic and adversarial searches for concrete applications. It then discusses automated reasoning, advanced knowledge representation and dealing with uncertainly for Artificial Intelligence applications. Finally, it introduces autoencoders, recurrent neural networks and sequence to sequence models. A project is required. Laboratory: two hours per week."
Pattern Recognition ,COMP,6731,Pre-processing. Feature extraction and selection. Similarity between patterns and distance measurements. Syntactic and statistical approaches. Clustering analysis. Bayesian decision theory and discriminant functions. Clustering and classification techniques. Applications. A project is required. Laboratory: two hours per week.
Intelligent Systems ,COMP,6741,"Knowledge representation and reasoning. Uncertainty and conflict resolution. Design of intelligent systems. Grammar-based, rule-based, and blackboard architectures. A project is required. Laboratory: two hours per week."
Natural Language Analysis,COMP,6751,"Introduction to natural language processing. Structure of English. Grammars and parsing. Lexical and compositional semantics. Pragmatic issues. Applications in text mining and information extraction. A project is required.
Note: Students who have received credit for COMP 7741 before September 2011 may not take this course for credit."
Advanced 3D Graphics for Game Programming,COMP,6761,"Fundamental algorithms, techniques, and software engineering principles for 3D graphics. Introduction to real-time graphics application architecture; review of basic 3D concepts of modelling, viewing, and rendering. 3D graphics functions, pipeline, and performance. Hierarchical 3D graphics. Algorithms for occlusion culling, collision detection, photorealism, shadows, and textures. Current trends and state-of-the-art graphics and physics algorithms. Laboratory: Two hours per week."
Image Processing  ,COMP,6771,"Digital image fundamentals; image enhancement: histogram processing, filtering in the spatial domain, filtering in the frequency domain; image restoration and reconstruction; image segmentation: line detection, Hough transform, edge detection and linking, thresholding, region splitting and merging; image compression; introduction to wavelet transform and multi-resolution processing. A project is required. Laboratory: two hours per week."
Statistical Natural Language Processing,COMP,6781,"The course covers robust methods to natural language processing (NLP) and their applications to manipulate large text collections. Topics covered in this course include: Zipf’s law, information retrieval, statistical machine translation, N-gram language models and smoothing techniques, word sense disambiguation, part-of-speech tagging and probabilistic grammars and parsing. A project is required."
Information Retrieval and Web Search ,COMP,6791,"Basics of information retrieval (IR): Boolean, vector space and probabilistic models. Tokenization and creation of inverted files. Weighting schemes. Evaluation of IR systems: precision, recall, E-measure. Relevance feedback and query expansion. Application of IR to Web search engines: XML, link analysis, PageRank algorithm. Text categorization and clustering techniques as used in spam filtering. A project is required. Laboratory: two hours per week."
Bioinformatics Algorithms,COMP,6811,"The principal objectives of the course are to cover the major algorithms used in bioinformatics; sequence alignment, multiple sequence alignment, phylogeny; classifying patterns in sequences; secondary structure prediction; 3D structure prediction; analysis of gene expression data. This includes dynamic programming, machine learning, simulated annealing, and clustering algorithms. Algorithmic principles will be emphasized. A project is required."
Bioinformatics Databases and Systems,COMP,6821,"The principal objectives of the course are to survey the needs of bioinformatics for data management, knowledge management, and computational support; to provide in-depth description of an example of each kind of database and system; and to introduce advanced database technology and software technology relevant to the needs of bioinformatics. A project is required."
Topics in Computer Science I,COMP,691,"Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g., COMP 691A, COMP 691B, etc."
Graduate Seminar in Computer Science,COMP,6961,Students will have to attend a selected set of departmental seminars and submit a comprehensive report on the topics presented in one of the seminars. This course is graded on a pass/fail basis.
Project and Report ,COMP,6971,"Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department.
 See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.
Note: Students who have received credit for SOEN 6951 or SOEN 6971 may not take this course for credit."
Parallel Algorithms and Architectures,COMP,7241,"Prerequisite: COMP 6281 or permission of instructor.
 Parallel architectures; memory organization, interconnection structures, data routing techniques. Parallel algorithms; paradigms and design techniques, complexity analysis, algorithms for various computation models. A project is required."
Mobile Computing and Wireless Networks,COMP,7251,"Prerequisite: COMP 6461.
 Introduction to mobile computing and wireless networks:local (LAN), personal (PAN) and metropolitan (MAN). Mobile ad hoc networks and sensor networks. Algorithms and protocols for medium access, routing, topology control, and reliable transport. A project is required."
Semantics of Programming Languages,COMP,7451,"Prerequisite: COMP 6411.
 The need for semantic descriptions of programming languages. Classification of semantics: operational, axiomatic, model-theoretic, algebraic, denotational. Classification of languages: procedural, functional, logic, equational. Applications: verification, construction, language design, temporal logic for distributed systems, semantics for advanced languages."
Cryptography and Data Security,COMP,7521,"Prerequisite: COMP 6651.
 Traditional cryptography. Information theory. Private-key (symmetric-key) and public-key (asymmetric-key) cryptographic algorithms. Advanced Encryption Standard (Rijndael). Cryptographic hash functions. Digital signatures. Data-origin authentication and data integrity. Entity authentication. Key distribution, management, recovery, and exhaustion. Authentication protocols. Security services (confidentiality, authentication, integrity, access control, non-repudiation, and availability) and mechanisms (encryption, data-integrity mechanisms, digital signatures, keyed hashes, access-control mechanisms, challenge-response authentication, traffic padding, and routing control). Projects will be offered in selected topics in cryptography."
Database Systems Principles,COMP,7531,"Prerequisite: COMP 6521.
 Database models. Algebraic, logical, and deductive database languages. Query equivalence and optimization. Query rewriting, information integration and data exchange. Incomplete information and complex values. Introduction to current research topics. A project is required."
Advanced Analysis of Algorithms,COMP,7651,"Prerequisite: COMP 6651.
 Amortized analysis of algorithms, NP-hardness and approximation algorithms, online algorithms, randomized algorithms. Selected topics of current interest. Project or term paper."
Advanced Rendering and Animation,COMP,7661,"Prerequisite: COMP 6761.
 Advanced concepts in rendering and animation with emphasis on computational techniques for synthesizing complex realistic images, both static and dynamic. Topics include: overview of computer graphics techniques in games, cinema, and engineering; realistic rendering methods in real time; animation techniques including physics-based animation. A project is required."
Advanced Pattern Recognition ,COMP,7751,"Prerequisite: COMP 6731.
 Pattern recognition principles; modern methods in digitization and data acquisition; advanced topics in feature extraction and selection; principal component analysis and clustering techniques; multiple classifiers and expert systems; advanced topics in neural networks in pattern recognition, performance evaluation and error reduction. Applications. A project is required."
Advanced Image Processing,COMP,7781,"Prerequisite: COMP 6771 or permission of instructor.
 Digital image processing; segmentation morphological processing; wavelet transforms and multi-resolution analysis; partial differential equation approach; variational methods; diffusion and shock filters; Markov random field and Bayesian inference; energy minimization framework: snakes, active contours, Mumford-Shah model, level set method; numerical implementation; applications; image inpainting; registration; and document processing. A project is required."
Topics in Computer Science II,COMP,791,"Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that course content has changed. Changes in content will be indicated by the letter following the course number, e.g. COMP 791A, COMP 791B, etc."
Master’s Research and Thesis,COMP,7941,Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.
Doctoral Research and Thesis,COMP,8901,COMP 8901 Doctoral Research and Thesis (70 credits)
Software Engineering Processes,SOEN,6011,"Introduction to software engineering concepts, modern management processes and software lifecycles. Tracking of software requirements and development through issue trackers. Version control practices include integration of feature branching. Validation practices including testing frameworks and code review. Continuous integration and build environments. A practical component on setting up a development environment similar to those used in professional environments. Case studies of successful management processes from open source projects and industry. A project is required."
Software Re-engineering,SOEN,6021,"Prerequisite: SOEN 6461 or permission of the instructor. This course introduces software re-engineering, software architecture recovery and reconstruction, and reflexion models. Students use development history to support reengineering, and are exposed to the latest empirical studies on software reengineering and software metrics applied to software re-engineering. Also, students learn how to apply various software re-engineering patterns and software migration strategies. A project is required.
Note: Students who have received credit for SOEN 691 (Software Re-engineering) may not take this course for credit."
Semantic Computing,SOEN,6211,"System analysis, architecture, and engineering for semantic software products. Text Mining systems and their architectures. Tagging and Tag Analysis. Recommender Systems and Collaborative Filtering. Crawling the Blogosphere and Opinion Mining. Applying Clustering, Machine Learning, Classification, and Regression. The Web of Data and Semantic Web Technologies: RDF, RDFS, SPARQL. Linked Open Data (LOD). Design and Re-Use of Semantic Web Vocabularies and Ontologies. Semantic Desktops and Semantic Web Information Systems. Semantic Application Development. Application case studies in biomedical research, software development, business intelligence, online gaming, e-commerce and e-science. Research paper seminar. Empirical evaluation methodologies for semantic systems. A project is required.
Note: Students who have received credit for this topic under a SOEN 691B number may not take this course for credit."
Formal Methods,SOEN,6311,"Components of formal systems: formal methods; levels of formalism. Integrating formal methods into the existing software life-cycle process model for a given project. Attributes of a formal specification language. Formal notations based on extended finite-state machines; case studies involving the design of user interfaces, reactive systems, and concurrent systems. Software development using formal methods, including tools for: type checking; debugging; verifying checkable properties; validation of refinements; and code generation from refinements. A project is required."
Software Comprehension and Maintenance,SOEN,6431,"The course addresses both technical and managerial views of software comprehension and software maintenance issues. Topics covered in this course include: cognitive models, software visualization, CASE tools, reverse engineering, static and dynamic source code analysis, software configuration management, and introduction to current research topics in software maintenance and program comprehension. A project is required.
Note: Students who have received credit for COMP 6431 may not take this course for credit."
Advanced Programming Practices,SOEN,6441,"Problems of writing and managing code. Managing code complexity and quality through a programming process. Self-documenting code, and documentation generation. Software configuration management. Best practices for writing unit tests to control code quality. Advanced practices such as multi-threading concurrency, code reuse, and fault tolerance. A project is required. Laboratory: two hours per week."
Software Design Methodologies,SOEN,6461,"Introduction to software design processes and their models. Representations of design/architecture. Software architectures and design plans. Design methods, object-oriented application frameworks, design patterns, design quality and assurance, coupling and cohesion measurements, design verification and documentation. A design project.
Note: Students who have received credit for COMP 6471 before September 2011 may not take this course for credit."
Advanced Software Architectures,SOEN,6471,"Study of architectural view models, architectural styles and frameworks; Architectural case studies and extraction of concrete architecture; Architectural design patterns; Model Driven Architecture (MDA), Service Oriented Architecture (SOA). Domain specific architectures such as mobile and cloud computing. A project is required."
Software Systems Requirements Specification,SOEN,6481,"The requirements engineering (RE) process. Requirements engineering in different software lifecycle models. Problem analysis. Requirements elicitation. Requirements evaluation. Inconsistency management. Risk analysis. Requirements prioritization and negotiation. Requirements specification: natural language documentation, IEEE and ISO standards. Use cases. Agile processes and user stories. Introduction to formal specification: logics, formal languages. Requirements quality assurance. RE tools. Requirements evolution. Traceability. Domain modelling: UML, ontologies, domain-specific languages. Modelling behaviour. Acceptance criteria. Test cases. Cost models. A project is required.
Note: Students who have received credit for COMP 6481 may not take this course for credit."
Software Refactoring,SOEN,6491,"Prerequisite: SOEN 6461.
 Topics include an introduction to preventive maintenance, design problems, and refactorings; techniques for the detection of design problems and refactoring opportunities; management of preventive maintenance: visualization, prioritization, ranking, and evolution tracking of design problems; empirical studies on refactoring activities and practices; implementation of source code analysis techniques and refactorings. A project is required.
Note: Students who have received credit for SOEN 691C (Software Refactoring) may not take this course for credit."
Programming Competency Test,SOEN,6501,See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) or Master of/Magisteriate in Engineering (Software Engineering) sections.
Software Measurement,SOEN,6611,"Role of measurement in Software Engineering, theoretical, technical and managerial views on software measurement. Representational theory of measurement. Theoretical validation of software measurement. Goal-driven measurement. Collecting and analyzing software engineering data. Software quality modelling and measuring. Testing and measurement. Reliability models. Functional size measurement methods. Effort estimation models and their usage in project management. Software measurement standards. Tool support. Case studies. A project is required."
Human Computer Interface Design ,SOEN,6751,"Introduction to human computer interaction. User-centered design process. User modelling. Task analysis. User interface design knowledge (principles, guidelines and patterns). User interface prototyping. User interface evaluation. A project is required. Laboratory: two hours per week.
Note: Note: Students who have received credit for COMP 6751 before September 2011 may not take this course for credit."
Multimedia Computing,SOEN,6761,"This course covers the state-of-the-art technology for multimedia computing. The course topics will cover current media types, images, video, audio, graphics and 3D models in terms of algorithms and data structures for their capture, representation, creation, storage, archival, transmission, assembling, presentation and retrieval. This course will cover fundamental ideas in multimedia technology applicable to computer science and software engineering. A project is required."
Software Project Management,SOEN,6841,"Fundamental concepts of management activities, demonstrating how it can relate to software engineering and how the two can be mutually supportive throughout software development and maintenance. Overview of object-oriented development; software development processes; quality considerations; activity planning; risk management; monitoring and control; maintenance and evolution; issues of professional ethics and practice, and legal issues. A project is required."
"Services Computing: Foundations, Design and Implementations",SOEN,6861,"System design with Service Oriented Architecture. Open standards for Web services. Development of SOAP (Service-Oriented Architecture and Programming) and RESTful (REpresentational State Transfer) services. Business process modelling and management. Service composition. Formal models for services. A project is required.
Note: Students who have received credit for SOEN 691A (Services Computing: Foundations, Design and Implementations) may not take this course for credit."
Topics in Software Engineering ,SOEN,691,"Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 691A, SOEN 691B, etc."
Software Engineering Case Study,SOEN,6951,"Students will complete a case study of a software project. Whenever possible, the project should be conducted in an industrial environment with the cooperation of the student’s employer.
Note: Students who have received credit for SOEN 6971 or COMP 6971 may not take this course for credit."
Project and Report ,SOEN,6971,"Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department.
 See Requirements for the Degree of Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.
Note: Students who have received credit for COMP 6971 or SOEN 6951 may not take this course for credit."
Software Verification and Testing,SOEN,7481,"Prerequisites: SOEN 6461, SOEN 6481.
 Overview of current software engineering testing methods, techniques and standards for testing system implementations. Classical white-box testing; dataflow testing; classical black-box testing; integration testing; system testing. Testing measures; test plan. IEEE standard. Object-oriented testing. Test-driven development. Testing quality measures. Test reduction techniques. Techniques for test automation. Tools and techniques for formal verification of software system designs: model checking and theorem proving. A project is required.
Note: Students who have received credit for COMP 7481 may not take this course for credit."
Intelligent User Interfaces,SOEN,7761,"Prerequisite: SOEN 6751.
 Intelligent systems and intelligent interfaces. A brief introduction to knowledge representation and reasoning. Creation and adaptation of user models. Software agents at the user interface. Applications of these concepts in the development of intelligent user interfaces. Adaptive user interfaces. Selected advanced topics, such as natural language interfaces, speech based user interfaces, and mobile user interfaces. Laboratory: two hours per week. A project is required.
Note: Students who have received credit for COMP 7761 before September 2011 may not take this course for credit."
Topics in Software Engineering II,SOEN,791,"Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 791A, SOEN 791B, etc."
Master’s Research and Thesis,SOEN,7941,Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.
Graduate Seminar in Building and Civil Engineering ,BCEE,6961,"MEng students must attend a set of seminars identified by the Department and submit a comprehensive report on selected topics. The report, including an abstract, must be suitably documented and illustrated, should be at least 1000 words in length, must be type-written on one side of 21.5 cm by 28 cm white paper of quality, and must be enclosed in binding. Students are referred to Form and Style: Thesis, Reports, Term Papers, fourth edition by Campbell and Ballou, published by Houghton Mifflin.
Note: This course cannot be taken by MASc or PhD students."
Structural Systems for Buildings,BLDG,6061,"Building components and assembled systems. Structural efficiency and economy: rigid frames, shear walls, framed tube, latticed structures; membrane, air and cable supported structures. Selection and preliminary design of building structural systems, materials and components. Case studies."
Wind Engineering and Building Aerodynamics ,BLDG,6071,"Atmospheric circulations; atmospheric boundary layer; wind structure; wind speed and turbulence measurements; bluff body aerodynamics; mean and fluctuating wind forces on buildings; internal wind pressures; along-wind, across-wind and torsional building response to wind; snow drifting and accumulation problems; dispersion of gaseous pollutants. A case study or a project is required."
Computer-Aided Building Operation ,BLDG,6111,"Prerequisite: BLDG 6711.
 Computer systems for energy management, including scheduling and operation of HVAC systems and lighting. Applications for intelligent buildings. Use of simulation and knowledge-based software for automatic regulation of building operation. Diagnosis of malfunctions and modifications of operations. Computerized building security systems. Actions during extraordinary conditions such as fire emergencies. A project is required."
Database Applications in Building and Civil Engineering ,BLDG,6151,"Components, properties and limits of databases and database management systems (DBMS). Database requirements for engineering tasks. Design of database schema and implementation in commercially available DBMS. Engineering data modelling techniques. Topics include: the entity/relationship model; the relational data model; the standard database language SQL; and the object-oriented data model. A project is required.
Note: Students who have taken ENGR 6151 may not take this course for credit."
Design of Computer-Aided Systems in Building and Civil Engineering ,BLDG,6221,"Object-oriented modelling of physical components, design objectives, performance requirements and engineering processes. Identification of objects and definition of their arrangement and interaction to model engineering processes. Overview of the life-cycle of an engineering software project. Project on implementation of a small scale computer-aided engineering system.
Note: Students who have taken ENGR 6221 may not take this course for credit."
Applications of Artificial Intelligence in Building and Civil Engineering,BLDG,6231,"Introduction to artificial intelligence techniques in an engineering context; heuristic search methods, logical reasoning, knowledge-based systems, neural networks, genetics algorithms, and case-based reasoning. Algorithmic versus knowledge-based programming for engineering applications. Emphasis on knowledge-based systems and their characteristics, capabilities and limitations. Case studies in design, failure diagnosis and processing of standards. A project is required.
Note: Students who have taken ENGR 6231 may not take this course for credit."
Building Information Modelling in Construction,BLDG,6241,"Topics include introduction to Building Information Modelling (BIM) technologies; BIM implementation at different project stages - pre-construction, construction, and facility management; BIM-Aided design alternatives, constructability analysis, and development of space-time-cost models; BIM visualization for trade coordination and processes monitoring. A project is required."
Heat Transfer,BLDG,6541,"(Cannot be taken for credit by students who have completed the Bachelor of/Baccalaureate in Engineering (Building) Program).
 Steady state heat conduction. Convection and radiation heat exchange. Refrigeration cycles. Theory of air vapour mixtures. Introduction to heat transfer in building environment. Unsteady state of heat transfer. Case studies."
Building Economics I ,BLDG,6561,"(Cannot be taken for credit by students who have completed the Bachelor of/Baccalaureate in Engineering (Building) Program).
 Development of economic performance measures of interest to developers, owners, contractors and users. Sources of finance and the determinants of the cost of money. Elementary estimating; cost indices; forecasting techniques; value of money; economic comparison techniques; evaluation of projects in private and public sectors; tax regulations; inflation; life-cycle costing; risk analysis; non-economic attributes. Case studies of economic analysis of projects, single building and building components. A project is required."
Project Management ,BLDG,6571,"Introduction to managing the development, design and construction of buildings. Examination of project management for the total development process, including inter-relationships between owners, developers, financing sources, designers, contractors and users; methods of project delivery; introduction to planning and scheduling; role and tasks of the project manager; feasibility analyses; construction claims; financing and cash-flow analysis; government regulations; environmental and social constraints; introduction to control of cost, time and technical performance; human factors; computer applications. A project is required."
Decision Analysis ,BLDG,6581,"Development of a basic theory of decision making under uncertainty. Rationales of decision makers, utility, the concept of the value of perfect information. The Bayesian approach to decision making; pre-posterior analysis and optimal fixed-sized analysis for random processes. Decision analysis with multiple objective, structuring the problem, multi-attributed utility functions, case studies. A project is required."
Computer-Aided Building Design ,BLDG,6591,"Prerequisites: BLDG 6561.
 Identification of objectives, decision variables, processes and information flow in building design. Application and evaluation of computer systems to components of the building design process. Determination of decision variables in problem modelling and sensitivity of results. Current applications in structural analysis and design, space layout, electrical distribution systems, HVAC design, lighting design, estimating, specification editing and scheduling. Evaluation of issues of interdisciplinary information control and interchange. A project is required."
Building Enclosure ,BLDG,6601,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
Prerequisite: BLDG 6611.
 Schematic and detail design of walls, windows and roofs. Complex building types will be examined to show the relationships between massing, materials, energy conservation and building use. Solar shading, daylighting, rainscreen and air barrier principles will be emphasized. A project is required."
Building Science ,BLDG,6611,"(Cannot be taken for credit by students who have completed the Bachelor of/Baccalaureate in Engineering (Building) Program).
 Environmental exterior and interior influences on inner environmental control. Topics include: thermal energy exchanges, psychrometrics, vapour and fluid flow, air leakage, ventilation and design comfort conditions, selection of materials and building systems. A case study or a project is required."
Modern Building Materials  ,BLDG,6621,"(Cannot be taken for credit by students who have completed the undergraduate equivalent).
Prerequisite: BLDG 6611 previously or concurrently.
 Structural, thermal and acoustical properties of new building materials such as: plastics, synthetic fibres, adhesives, sealants, caulking compounds, forams, sandwich panels, composites, polymer-concrete systems, fibre-reinforced concretes, plastic mortars, polymers for flooring, roofing, synthetic wall papers. Consideration of corrosion, bio- and thermal degradation, stability under ultraviolet and solar radiation. A project is required."
Fundamentals of Facility Management ,BLDG,6631,"Systems approach to planning, organization and implementation of a facility, including space allocation, leasing and marketing, operation, maintenance, and renovation over the life of the building. Forecast of budget requirements for effective operation, maintenance, and renovation. Correlation between the operation of the building and health risks, comfort, productivity, and costs. Integrated approach to the planning, analysis, evaluation, organization and optimization of physical systems of facilities. Case studies."
Industrialized Building ,BLDG,6641,"Trends toward off-site fabrication of buildings. Needs and technical requirements of international markets. Principal types of industrialized systems, materials and components. Optimization of industrialized production. Planning, design, construction and maintenance. Codes and standards. A case study and project."
